CompanyName|AddressType|City|StateProvince|ProductName|StandardCost|ListPrice|ProductCategoryName|OrderDate|ShipDate|ShipMethod|SubTotal|TaxAmt|Freight|TotalDue|SalesOrderID|SalesOrderDetailID|OrderQty|UnitPrice|UnitPriceDiscount|LineTotal
Good Toys|Main Office|Auburn|California|ML Road Frame-W - Yellow, 48|360.9428|594.8300|Road Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|880.3484|70.4279|22.0087|972.7850|71774|110562|1|356.8980|0.0000|356.898000
Good Toys|Main Office|Auburn|California|ML Road Frame-W - Yellow, 38|360.9428|594.8300|Road Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|880.3484|70.4279|22.0087|972.7850|71774|110563|1|356.8980|0.0000|356.898000
West Side Mart|Main Office|Wokingham|England|Rear Brakes|47.2860|106.5000|Brakes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|78.8100|6.3048|1.9703|87.0851|71776|110567|1|63.9000|0.0000|63.900000
Nearby Cycle Shop|Main Office|West Sussex|England|ML Mountain Frame-W - Silver, 42|199.3757|364.0900|Mountain Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110616|4|218.4540|0.0000|873.816000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-400-W Silver, 46|419.7784|769.4900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110617|2|461.6940|0.0000|923.388000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Silver, 52|308.2179|564.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110618|6|112.9980|0.4000|406.792800
Nearby Cycle Shop|Main Office|West Sussex|England|HL Mountain Frame - Silver, 38|747.2002|1364.5000|Mountain Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110619|2|818.7000|0.0000|1637.400000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Black, 42|294.5797|539.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110620|1|323.9940|0.0000|323.994000
Nearby Cycle Shop|Main Office|West Sussex|England|LL Mountain Frame - Black, 48|136.7850|249.7900|Mountain Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110621|1|149.8740|0.0000|149.874000
Nearby Cycle Shop|Main Office|West Sussex|England|HL Mountain Frame - Black, 42|739.0410|1349.6000|Mountain Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110622|1|809.7600|0.0000|809.760000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-200 Black, 38|1251.9813|2294.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110623|4|1376.9940|0.0000|5507.976000
Nearby Cycle Shop|Main Office|West Sussex|England|LL Mountain Frame - Silver, 44|144.5938|264.0500|Mountain Frames|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110624|2|158.4300|0.0000|316.860000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-200 Silver, 42|1265.6195|2319.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110625|4|1391.9940|0.0000|5567.976000
Nearby Cycle Shop|Main Office|West Sussex|England|HL Mountain Pedal|35.9596|80.9900|Pedals|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110626|1|48.5940|0.0000|48.594000
Nearby Cycle Shop|Main Office|West Sussex|England|Women's Mountain Shorts, S|26.1763|69.9900|Shorts|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110627|6|41.9940|0.0000|251.964000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Silver, 42|308.2179|564.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110628|1|112.9980|0.4000|67.798800
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Black, 40|294.5797|539.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110629|2|323.9940|0.0000|647.988000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Black, 44|294.5797|539.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110630|3|323.9940|0.0000|971.982000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Black, 48|294.5797|539.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110631|1|323.9940|0.0000|323.994000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Black, 52|294.5797|539.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110632|2|323.9940|0.0000|647.988000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Silver, 40|308.2179|564.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110633|2|112.9980|0.4000|135.597600
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Silver, 44|308.2179|564.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110634|3|112.9980|0.4000|203.396400
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-500 Silver, 48|308.2179|564.9900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110635|3|112.9980|0.4000|203.396400
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-400-W Silver, 40|419.7784|769.4900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110636|2|461.6940|0.0000|923.388000
Nearby Cycle Shop|Main Office|West Sussex|England|Mountain-400-W Silver, 42|419.7784|769.4900|Mountain Bikes|2008-06-01T00:00:00.0000000|2008-06-08T00:00:00.0000000|CARGO TRANSPORT 5|38418.6895|3073.4952|960.4672|42452.6519|71780|110637|3|461.6940|0.0000|1385.082000
