OBJECTID,Shape,INCKEY,COLDETKEY,ADDRTYPE,COLLISIONTYPE,DIAGRAMLINK,DISTANCE,EXCEPTRSNCODE,EXCEPTRSNDESC,FATALITIES,INATTENTIONIND,INCDATE,INCDTTM,INJURIES,INTKEY,JUNCTIONTYPE,LIGHTCOND,LOCATION,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,REPORTLINK,REPORTNO,ROADCOND,SDOT_COLCODE,SDOT_COLDESC,SDOTCOLNUM,SEGKEY,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,ST_COLCODE,ST_COLDESC,STATUS,UNDERINFL,VEHCOUNT,WEATHER,WIDTH,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO
49,"""(47.60165615300008, -122.29676784199995)""",109778,109778,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\71187171.bmp,0, ,,0,,11/10/2010 08:00:00 AM +0000,11/10/2010 16:31,0,30579,At Intersection (intersection related),Dusk,M L KING JR WAY AND E YESLER WAY,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3386718.pdf,3386718,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10314042,11481,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,523687,N,10 393098
258,"""(47.57147661600004, -122.371319917)""",108710,108710,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44512100.bmp,0,,,0,,05/20/2010 07:00:00 AM +0000,5/20/2010 8:24,1,32118,At Intersection (intersection related),Daylight,ADMIRAL AVALON RP AND SW ADMIRAL WAY,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3325807.pdf,3325807,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10140039,21690,0,2,Injury Collision,,45,Bicycle,Matched,0,1,Overcast,0,3037,0,N,10-165592
289,"""(47.68045378700003, -122.37677179299999)""",108711,108711,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55185600.bmp,338,,,0,,05/21/2010 07:00:00 AM +0000,5/21/2010 8:50,1,,Mid-Block (not related to intersection),Daylight,15TH AVE NW BETWEEN NW 70TH ST AND NW 73RD ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3206054.pdf,3206054,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10141029,2114,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10-166889
355,"""(47.697823819000064, -122.34999793999998)""",109941,109941,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\18517700.bmp,0,,,0,,10/19/2010 07:00:00 AM +0000,10/19/2010 16:39,1,37425,At Intersection (intersection related),Daylight,FREMONT AVE N AND N 95TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3327738.pdf,3327738,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10292030,10539,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,2010-365940
394,"""(47.702007698000045, -122.36474756099994)""",108587,108587,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22518800.bmp,286,,,0,,02/10/2010 08:00:00 AM +0000,2/10/2010 18:30,0,,Driveway Junction,Dark - Street Lights On,NW 100TH PL BETWEEN 7TH AVE NW AND NW 100TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\2893068.pdf,2893068,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10041040,18114,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Raining,0,3514,0,N,10-47891
442,"""(47.61167201000006, -122.33648396599995)""",112124,112124,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44186600.bmp,0,,,0,,05/15/2010 07:00:00 AM +0000,5/15/2010 2:08,1,29577,At Intersection (intersection related),Dark - Street Lights On,5TH AVE AND PINE ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3346232.pdf,3346232,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10135006,7239,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,21833,0,N,10-158883
488,"""(47.55747469100004, -122.36425503199996)""",112392,112392,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55513300.bmp,0, ,,0,,07/13/2010 07:00:00 AM +0000,7/13/2010 7:48,1,32934,At Intersection (intersection related),Daylight,25TH AVE SW AND SW HUDSON ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3343106.pdf,3343106,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10194015,3803,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10-240764
523,"""(47.71230180500004, -122.33809240799997)""",111042,111042,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77549700.bmp,993,,,0,Y,07/24/2010 07:00:00 AM +0000,7/24/2010 16:05,1,,Mid-Block (not related to intersection),Daylight,N 115TH ST BETWEEN STONE AVE N AND MERIDIAN AVE N,0,1,,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3377245.pdf,3377245,Dry,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,10205028,15076,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,32878,0,N,10-255341
526,"""(47.53775876200007, -122.36186725499999)""",110773,110773,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\13181100.bmp,208.5, ,,0,,11/18/2010 08:00:00 AM +0000,11/18/2010 15:40,1,,Mid-Block (but intersection related),Daylight,SW ORCHARD ST BETWEEN DELRIDGE WAY SW AND SYLVAN WAY SW,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3342432.pdf,3342432,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10322020,22645,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,525434,N,10-402493
553,"""(47.63595304800003, -122.37613788399995)""",111715,111715,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\17185500.bmp,0,,,0,,07/27/2010 07:00:00 AM +0000,7/27/2010 18:24,1,27955,At Intersection (intersection related),Daylight,15TH AVE W AND W HOWE ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\2796159.pdf,2796159,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10208025,2186,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,19025,0,N,10-259470
